Status,Key,Value,Description,Notes,Key_Category ,Service,Entity_Type,Entity_Name,Item_Type,Working_Notes
Live,ANDROID_SIGNING_KEY_PASSWORD,In AWS Secrets,Mobile application build and deploys Credentials ,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,ALL,SECRET,-
Clarify,API Prefix,api,api.{DOMAIN_NAME},-,ENV_VAR,ALL,ALL,ALL,URL,-
Live,API_CERTIFICATE_ARN,arn:aws:acm:us-east-1:770440470799:certificate/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx,ARN of the certificate for the BASE_API_URL (Global Region US-EAST-1),-,CONFIG_DATA,ALL,ALL,ALL,URL,-
Clarify,API_PLAYGROUND_PREFIX,play.api,play.api.{DOMAIN_NAME},-,ENV_VAR,ALL,ALL,ALL,URL,-
Clarify,APPLE_TEAM_ID,K5M3V8X5CC,???,-,ENV_VAR,wp-3-paymt,WALLET_PROVIDER,Avalanche,ID,-
Clarify,Apple_APN_Notification.p8,In AWS Secrets,APNs Key for authenticating with Apple's notification service. Enables push notifications to Apple devices. ,-,ENV_VAR,wp-20-walet,WALLET_PROVIDER,All,SECRET,-
Live,BASE_API_URL,https://api.${STAGE}.${DOMAIN_NAME},URL used by mobile / dashboard applications to connect to PAYMENT_SERVICE REST API,-,ENV_VAR,wp-3-paymt,ALL,ALL,URL,-
Planned,BASE_BI_URL,https://bi.${STAGE}.${DOMAIN_NAME},URL used by dashboard applications to connect to BI_SERVICE REST API,https://qktlh7o7pk.execute-api.eu-west-2.amazonaws.com/develop | https://de4y1iirga.execute-api.eu-west-2.amazonaws.com/pnpd-develop | https://jm3f1hyvpc.execute-api.eu-west-2.amazonaws.com/west-develop,ENV_VAR,PAYMENT_SERVICE ,ALL,ALL,URL,-
Planned,BASE_CRM_API_URL,https://api.${STAGE}.${DOMAIN_NAME}/crm,URL used by wp-23-sdk-js to connect to CRM API,-,ENV_VAR,core-3-issue,CORE,PNP,URL,-
Live,BASE_GQL_URL,https://gql.${STAGE}.${DOMAIN_NAME}/graphql,URL used by mobile / dashboard applications to connect to PAYMENT_SERVICE GQL API,-,ENV_VAR,PAYMENT_SERVICE ,ALL,ALL,URL,-
Live,BASE_LMS_API_URL,https://api.${STAGE}.${DOMAIN_NAME}/lms,URL used by wp-23-sdk-js to connect to LMS API,-,ENV_VAR,core-3-issue,CORE,PNP,URL,-
Live,BASE_RETAILER_API_URL,https://retailer.api.${STAGE}.${DOMAIN_NAME},URL used by wp-23-sdk-js to connect to Retailer API,-,ENV_VAR,wp-6-ecomm,ALL,ALL,URL,-
Live,BASE_SDK_URL,https://sdk.${STAGE}.${DOMAIN_NAME},URL used by wp-23-sdk-js to host the SDK and Playground,-,ENV_VAR,poc-retailer-spa NEEDS RENAMING,ALL,ALL,URL,-
Live,BASE_VERIFY_URL,https://verify.${STAGE}.${DOMAIN_NAME},URL used to host the SPA for verifying new customer email address during sign-up,-,ENV_VAR,wp-1a-signup-verify-spa,ALL,ALL,URL,-
